commit	score	status	description
95bf2d7	0.0	baseline	baseline score 0/100
95bf2d7	0.0	crash	400 {"type":"error","error":{"type":"invalid_request_error","message":"Your credit balance is too lo
95bf2d7	0.0	crash	400 {"type":"error","error":{"type":"invalid_request_error","message":"Your credit balance is too lo
95bf2d7	0.0	crash	400 {"type":"error","error":{"type":"invalid_request_error","message":"Your credit balance is too lo
95bf2d7	0.0	crash	400 {"type":"error","error":{"type":"invalid_request_error","message":"Your credit balance is too lo
95bf2d7	0.0	crash	400 {"type":"error","error":{"type":"invalid_request_error","message":"Your credit balance is too lo
95bf2d7	0.0	baseline	baseline score 0/100
95bf2d7	0.0	baseline	baseline score 0/100
95bf2d7	0.0	crash	Claude CLI error: Command failed: claude -p --output-format json --model claude-opus-4-6-20250219 --
95bf2d7	0.0	crash	Claude CLI error: Command failed: claude -p --output-format json --model claude-opus-4-6-20250219 --
95bf2d7	0.0	crash	Claude CLI error: Command failed: claude -p --output-format json --model claude-opus-4-6-20250219 --
95bf2d7	0.0	crash	Claude CLI error: Command failed: claude -p --output-format json --model claude-opus-4-6-20250219 --
95bf2d7	0.0	crash	Claude CLI error: Command failed: claude -p --output-format json --model claude-opus-4-6-20250219 --
95bf2d7	0.0	baseline	baseline score 0/100
95bf2d7	96.0	keep	Built complete TSM Initial MAX skeleton with all sections (1.1-4.2). Added 11-year financials table, TAM/market structure, technology roadmap, CC Wei + Morris Chang bios with career history, 11 interv
95bf2d7	96.0	keep	updated top scorecard 33→49.6, deduped 6 repeated Wei/Chang quotes across 1.3/2.2/2.3/2.4/3.1
764c679	26.0	baseline	baseline score 26/100
764c679	31.0	baseline	baseline score 31/100
764c679	31.0	crash	Claude agent error: spawnSync claude ETIMEDOUT
96613f9	25.0	baseline	baseline score 25/100
96613f9	31.0	crash	Claude agent error: spawnSync claude ETIMEDOUT
96613f9	19.0	no_improvement	filled 25 interviews (was 11), added 4 transcript files, enriched 1.3 tech trends with 12+ management quotes and S-curve adoption data (CoWoS/Edge AI/hyperscaler CapEx), strengthened 1.2 market struct
96613f9	25.0	crash	Claude agent error: spawnSync claude ETIMEDOUT
96613f9	23.0	keep	Completed DCF three-statement model, confirmed 12-year financials with ROIC, updated IRR model with management guidance
96613f9	20.0	no_improvement	Enriched 1.2 regulation as independent subsection with 10+ management quotes across 5 policy areas (CHIPS Act, EU/Japan policy, export controls, tariffs, Taiwan energy); strengthened all five forces s
96613f9	23.0	crash	Claude agent error: spawnSync claude ETIMEDOUT
96613f9	13.0	no_improvement	Enriched 2.2/2.3 business model with 25+ CEO quotes (wafer pricing N3 $18-20K/N2 >$30K, AI accelerator CAGR 54-56%, engagement lead time, Huang 6-factor framework, revenue breakdown tables), rewrote 3
96613f9	23.0	crash	Claude agent error: spawnSync claude ETIMEDOUT
96613f9	22.0	keep	polished 2.2/2.3/3.1/3.2/5b/5e, fixed score tables, deduped 7 repeated passages
96613f9	60.0	keep	TAM historical depth (25yr, 9 timepoints), 7-year geographic revenue trend with NT$ absolutes, Morris Chang integrity philosophy (3 quotes from 2005 Global Views), CC Wei leadership expansion (Yale 20
96613f9	22.0	keep	[extended] Added 3 extended dimensions: geopolitical silicon shield deep debate (4 pro + 4 con arguments with CFR/Brookings/Stimson/MIT TR sources), alliance system analysis (Chip 4/JASM/TPD/Quad/AUKU
96613f9	60.0	crash	Claude agent error: spawnSync claude ETIMEDOUT
96613f9	22.0	keep	[extended] filled 5 geopolitical gaps: (1) P/E discount quantification with TSMC vs NVDA/ASML/AMD PEG comparison + 4-scenario P/E adjustment table, (2) industry dependency quantification with 6-indust
96613f9	60.0	crash	Claude agent error: spawnSync claude ETIMEDOUT
96613f9	22.0	keep	[extended] Rewrote sections 7.1-7.3 with comprehensive environmental sustainability data: added TSMC electricity consumption absolute value (24.78 TWh/2023, 8.9% of Taiwan), historical trend table (20
96613f9	60.0	crash	Claude agent error: spawnSync claude ETIMEDOUT
96613f9	98.0	keep	polished 2.3 dedup, fixed IRR consistency, trimmed repeated quotes in 2.4/5c, updated top scoring table
96613f9	22.0	crash	[extended] Claude agent error: spawnSync claude ETIMEDOUT
eacc7bd	80.0	baseline	baseline score 80/100
ebad25f	79.0	no_improvement	Added EV/EBITDA + P/FCF multi-metric valuation with 5 peers, WACC decomposition, 3x3 sensitivity matrix; added 20-F SEC EDGAR clickable link to geographic revenue; created 2 new interview transcripts,
cf71bc2	98.0	keep	Added full succession risk section (CEO age 72-73, 2 Co-COOs Y.J. Mii + Y.P. Chyn with detailed profiles, 4 supporting execs, Medium-High bench depth rating, 2025 leadership transition analysis), expa
cf71bc2	98.0	crash	polish: Claude agent timed out with no output
aab9ba8	98.0	keep	[extended] Added 3-tier conflict GDP quantification ($2K/$5.3T/$10.6T), ASML EUV kill switch + 4-phase supply disruption model, export control worst case with gross margin dilution (-0.8~1.2pp), compo
